text,type,department
Здравствуйте! Во дворе по адресу пр. Мира д. 38 кв. 56 детская площадка в плохом состоянии: сломаны элементы и торчат гвозди. Дети там играют каждый день. Прошу срочно отремонтировать и огородить место до ремонта.,жалоба,Благоустройство
"Прошу включить мой двор (ул. Парковая, д. 49, кв. 73) в список на зимнюю уборку и обработку реагентами, так как тротуар сильно обледеневает.",запрос услуги,Благоустройство
"Прошу рассмотреть возможность предоставления рассрочки по оплате коммунальных услуг по адресу ул. Центральная, д. 51, кв. 29 в связи с временной потерей дохода. Документы могу приложить.",заявление/ходатайство,ЖКХ
"Подскажите, пожалуйста, когда в нашем районе планируется ремонт дворовых проездов и можно ли посмотреть график работ? Заранее спасибо.",запрос информации,Благоустройство
Выражаю благодарность врачу поликлиники №2 за внимательное отношение и подробные разъяснения по лечению.,благодарность,Здравоохранение
"во дворе огромная лужа после дождя, никто не убирает",жалоба,Благоустройство
"Добрый день. Обращаюсь с жалобой по адресу ул. Садовая, д. 53, кв. 12: лампа во дворе не горит уже 3 день(дня). Заявки в диспетчерскую подавала — реакции нет. Прошу разобраться и дать ответ в установленные сроки.",жалоба,Благоустройство
"Предлагаю сделать электронную форму обратной связи на сайте поликлиники, чтобы можно было оставить отзыв по работе врача и быстро получить ответ.",предложение,Здравоохранение
"Прошу рассмотреть возможность предоставления рассрочки по оплате коммунальных услуг по адресу ул. Садовая, д. 37, кв. 72 в связи с временной потерей дохода. Документы могу приложить.",заявление/ходатайство,ЖКХ
Прошу оказать услугу по промывке системы отопления в квартире по адресу ул. Садовая д. 93 кв. 25 радиаторы греют не полностью. Готова быть дома в будни после 18:00.,запрос услуги,ЖКХ
Выражаю благодарность врачу поликлиники №3 за внимательное отношение и подробные разъяснения по лечению.,благодарность,Здравоохранение
Прошу выдать направление в специализированное медучреждение для прохождения плановой операции. Амбулаторная карта находится в поликлинике №9. Заранее спасибо.,заявление/ходатайство,Здравоохранение
"Прошу сообщить, когда планируется очередная поверка общедомового счётчика по адресу ул. Парковая, д. 76, кв. 41, и кто её оплачивает.",запрос информации,ЖКХ
"Спасибо сотрудникам района за уборку территории у ул. Центральная, д. 45, кв. 40 и покос травы — стало гораздо чище. Заранее спасибо.",благодарность,Благоустройство
"Здравствуйте! Во дворе по адресу наб. Реки, д. 53, кв. 60 детская площадка в плохом состоянии: сломаны элементы и торчат гвозди. Дети там играют каждый день. Прошу срочно отремонтировать и огородить место до ремонта.",жалоба,Благоустройство
"Прошу оказать услугу по промывке системы отопления в квартире по адресу ул. Парковая, д. 50, кв. 12, радиаторы греют не полностью. Готова быть дома в будни после 18:00.",запрос услуги,ЖКХ
"Подскажите, пожалуйста, когда в нашем районе планируется ремонт дворовых проездов и можно ли посмотреть график работ?",запрос информации,Благоустройство
"Предлагаю организовать в нашем доме ул. Садовая, д. 27, кв. 72 раздельный сбор отходов — хотя бы стекло/пластик. Во дворе есть место рядом с ТБО. Думаю, жители поддержат.",предложение,Благоустройство
Выражаю благодарность врачу поликлиники №13 за внимательное отношение и подробные разъяснения по лечению.,благодарность,Здравоохранение
Добрый день. Обращаюсь с жалобой по адресу наб. Реки д. 63 кв. 10: яма на дороге уже 2 день(дня). Заявки в диспетчерскую подавала — реакции нет. Прошу разобраться и дать ответ в установленные сроки.,жалоба,Благоустройство
"Хочу предложить высадить кустарники/деревья вдоль пешеходной дорожки у дома ул. Победы, д. 77, кв. 84, сейчас там пусто и летом пыльно. Можно сделать субботник совместно с жителями.",предложение,ЖКХ
Выражаю благодарность врачу поликлиники №4 за внимательное отношение и подробные разъяснения по лечению.,благодарность,Здравоохранение
"Предлагаю сделать электронную форму обратной связи на сайте поликлиники, чтобы можно было оставить отзыв по работе врача и быстро получить ответ.",предложение,Здравоохранение
в поликлинике не берут трубку уже третий день,сообщение о неисправности,Здравоохранение
"Добрый день. Обращаюсь с жалобой по адресу ул. Парковая, д. 34, кв. 85: нет отопления уже 4 день(дня). Заявки в диспетчерскую подавала — реакции нет. Прошу разобраться и дать ответ в установленные сроки.",жалоба,ЖКХ
"Прошу включить территорию у дома ул. Карла Маркса, д. 9, кв. 25 в план благоустройства на 2026 год (асфальтирование, лавочки, урны). Жильцы инициативу поддерживают.",заявление/ходатайство,Благоустройство
"Прошу рассмотреть возможность предоставления рассрочки по оплате коммунальных услуг по адресу ул. Центральная, д. 37, кв. 61 в связи с временной потерей дохода. Документы могу приложить.",заявление/ходатайство,ЖКХ
"Прошу рассмотреть возможность предоставления рассрочки по оплате коммунальных услуг по адресу ул. Советская, д. 29, кв. 79 в связи с временной потерей дохода. Документы могу приложить.",заявление/ходатайство,ЖКХ
"Здравствуйте! Во дворе по адресу ул. Советская, д. 85, кв. 11 детская площадка в плохом состоянии: сломаны элементы и торчат гвозди. Дети там играют каждый день. Прошу срочно отремонтировать и огородить место до ремонта.",жалоба,Благоустройство
"Здравствуйте! Во дворе по адресу ул. Парковая, д. 47, кв. 23 детская площадка в плохом состоянии: сломаны элементы и торчат гвозди. Дети там играют каждый день. Прошу срочно отремонтировать и огородить место до ремонта. Заранее спасибо.",жалоба,Благоустройство
"Прошу включить мой двор (ул. Советская, д. 50, кв. 73) в список на зимнюю уборку и обработку реагентами, так как тротуар сильно обледеневает.",запрос услуги,Благоустройство
"Добрый день. Обращаюсь с жалобой по адресу ул. Парковая, д. 16, кв. 72: лифт постоянно застревает уже 5 день(дня). Заявки в диспетчерскую подавала — реакции нет. Прошу разобраться и дать ответ в установленные сроки.",жалоба,ЖКХ
"нет горячей воды второй день, дом 8 по ул. Победы",сообщение о неисправности,ЖКХ
"Хочу предложить высадить кустарники/деревья вдоль пешеходной дорожки у дома ул. Лесная, д. 46, кв. 9, сейчас там пусто и летом пыльно. Можно сделать субботник совместно с жителями.",предложение,ЖКХ
Сообщаю о неисправности электронной очереди в поликлинике №1 — талон печатается без времени и кабинета. Нужна проверка.,сообщение о неисправности,Здравоохранение
свет отключают по вечерам без предупреждения,сообщение о неисправности,ЖКХ
Хочу поблагодарить аварийную службу за быструю ликвидацию протечки в доме ул. Победы д. 59 кв. 54 — приехали в течение часа всё сделали аккуратно.,благодарность,ЖКХ
"Сообщаю: на детской площадке возле ул. Парковая, д. 95, кв. 69 сломаны качели (отошла перекладина), дети могут травмироваться. Просьба отремонтировать/огородить.",сообщение о неисправности,Благоустройство
"Добрый день. Обращаюсь с жалобой по адресу ул. Центральная, д. 99, кв. 17: лужи после дождя уже 4 день(дня). Заявки в диспетчерскую подавала — реакции нет. Прошу разобраться и дать ответ в установленные сроки.",жалоба,ЖКХ
"Хочу поблагодарить аварийную службу за быструю ликвидацию протечки в доме ул. Школьная, д. 84, кв. 75 — приехали в течение часа, всё сделали аккуратно.",благодарность,ЖКХ
Сообщаю о неисправности электронной очереди в поликлинике №13 — талон печатается без времени и кабинета. Нужна проверка.,сообщение о неисправности,Здравоохранение
Выражаю благодарность врачу поликлиники №4 за внимательное отношение и подробные разъяснения по лечению.,благодарность,Здравоохранение
"Сообщаю о неисправности: в подъезде по адресу ул. Победы, д. 91, кв. 57 перегорело освещение на 3 этаже, ночью там полностью темно. Просьба заменить лампу.",сообщение о неисправности,ЖКХ
"Прошу включить территорию у дома ул. Лесная, д. 20, кв. 7 в план благоустройства на 2026 год (асфальтирование, лавочки, урны). Жильцы инициативу поддерживают.",заявление/ходатайство,Благоустройство
"нет горячей воды второй день, дом 8 по ул. Победы",сообщение о неисправности,ЖКХ
"Предлагаю сделать электронную форму обратной связи на сайте поликлиники, чтобы можно было оставить отзыв по работе врача и быстро получить ответ.",предложение,Здравоохранение
"Прошу рассмотреть возможность предоставления рассрочки по оплате коммунальных услуг по адресу ул. Победы, д. 41, кв. 46 в связи с временной потерей дохода. Документы могу приложить.",заявление/ходатайство,ЖКХ
"Хочу предложить высадить кустарники/деревья вдоль пешеходной дорожки у дома ул. Карла Маркса, д. 7, кв. 81, сейчас там пусто и летом пыльно. Можно сделать субботник совместно с жителями.",предложение,ЖКХ
"Прошу оказать услугу по промывке системы отопления в квартире по адресу ул. Садовая, д. 118, кв. 6, радиаторы греют не полностью. Готова быть дома в будни после 18:00.",запрос услуги,ЖКХ
"Сообщаю: на детской площадке возле ул. Парковая, д. 3, кв. 89 сломаны качели (отошла перекладина), дети могут травмироваться. Просьба отремонтировать/огородить.",сообщение о неисправности,Благоустройство
"НЕТ ГОРЯЧЕЙ ВОДЫ ВТОРОЙ ДЕНЬ, ДОМ 8 ПО УЛ. ПОБЕДЫ",сообщение о неисправности,ЖКХ
Выражаю благодарность врачу поликлиники №12 за внимательное отношение и подробные разъяснения по лечению. Заранее спасибо.,благодарность,Здравоохранение
"Прошу включить территорию у дома ул. Центральная, д. 38, кв. 28 в план благоустройства на 2026 год (асфальтирование, лавочки, урны). Жильцы инициативу поддерживают.",заявление/ходатайство,Благоустройство
"Прошу включить территорию у дома ул. Центральная, д. 18, кв. 87 в план благоустройства на 2026 год (асфальтирование, лавочки, урны). Жильцы инициативу поддерживают.",заявление/ходатайство,Благоустройство
"Добрый день. Обращаюсь с жалобой по адресу ул. Садовая, д. 11, кв. 24: нет отопления уже 3 день(дня). Заявки в диспетчерскую подавала — реакции нет. Прошу разобраться и дать ответ в установленные сроки.",жалоба,ЖКХ
"яма на дороге перед домом, машины бьются",сообщение о неисправности,Благоустройство
"во дворе огромная лужа после дождя, никто не убирает",сообщение о неисправности,Благоустройство
"Прошу рассмотреть возможность предоставления рассрочки по оплате коммунальных услуг по адресу ул. Победы, д. 40, кв. 47 в связи с временной потерей дохода. Документы могу приложить. Заранее спасибо.",заявление/ходатайство,ЖКХ
Выражаю благодарность врачу поликлиники №13 за внимательное отношение и подробные разъяснения по лечению. Заранее спасибо.,благодарность,Здравоохранение
"нет горячей воды второй день, дом 8 по ул. Победы",сообщение о неисправности,ЖКХ
"Прошу оказать услугу по промывке системы отопления в квартире по адресу ул. Садовая, д. 61, кв. 31, радиаторы греют не полностью. Готова быть дома в будни после 18:00.",запрос услуги,ЖКХ
"Прошу включить мой двор (пр. Мира, д. 82, кв. 69) в список на зимнюю уборку и обработку реагентами, так как тротуар сильно обледеневает.",запрос услуги,Благоустройство
Хочу поблагодарить аварийную службу за быструю ликвидацию протечки в доме ул. Лесная д. 113 кв. 63 — приехали в течение часа всё сделали аккуратно.,благодарность,ЖКХ
"Прошу сообщить, когда планируется очередная поверка общедомового счётчика по адресу ул. Центральная, д. 67, кв. 67, и кто её оплачивает.",запрос информации,ЖКХ
"  лампа во дворе не горит уже неделю, адрес ул. Ленина 12  ",сообщение о неисправности,Благоустройство
"Прошу оказать услугу по промывке системы отопления в квартире по адресу наб. Реки, д. 79, кв. 88, радиаторы греют не полностью. Готова быть дома в будни после 18:00. Заранее спасибо.",запрос услуги,ЖКХ
свет отключают по вечерам без предупреждения,сообщение о неисправности,ЖКХ
Прошу выдать направление в специализированное медучреждение для санаторно-курортного лечения. Амбулаторная карта находится в поликлинике №2.,заявление/ходатайство,Здравоохранение
"Предлагаю организовать в нашем доме ул. Советская, д. 70, кв. 33 раздельный сбор отходов — хотя бы стекло/пластик. Во дворе есть место рядом с ТБО. Думаю, жители поддержат. Заранее спасибо.",предложение,Благоустройство
"Хочу предложить высадить кустарники/деревья вдоль пешеходной дорожки у дома ул. Садовая, д. 53, кв. 53, сейчас там пусто и летом пыльно. Можно сделать субботник совместно с жителями.",предложение,ЖКХ
"Прошу разобраться с работой регистратуры поликлиники №6: невозможно дозвониться, запись на приём отсутствует, сотрудники отвечают грубо. Прошу провести проверку и сообщить результат.",жалоба,Здравоохранение
Предлагаю сделать электронную форму обратной связи на сайте поликлиники чтобы можно было оставить отзыв по работе врача и быстро получить ответ.,предложение,Здравоохранение
Сообщаю: на детской площадке возле ул. Советская д. 17 кв. 44 сломаны качели (отошла перекладина) дети могут травмироваться. Просьба отремонтировать/огородить. Заранее спасибо.,сообщение о неисправности,Благоустройство
"Спасибо сотрудникам района за уборку территории у пр. Мира, д. 102, кв. 70 и покос травы — стало гораздо чище.",благодарность,Благоустройство
Сообщаю о неисправности электронной очереди в поликлинике №12 — талон печатается без времени и кабинета. Нужна проверка.,сообщение о неисправности,Здравоохранение
Сообщаю о неисправности электронной очереди в поликлинике №10 — талон печатается без времени и кабинета. Нужна проверка.,сообщение о неисправности,Здравоохранение
"Прошу записать меня на приём к терапевту в поликлинику №6 и оформить направление к узкому специалисту, так как через портал не получается.",запрос услуги,Здравоохранение
"Прошу разобраться с работой регистратуры поликлиники №5: невозможно дозвониться, запись на приём отсутствует, сотрудники отвечают грубо. Прошу провести проверку и сообщить результат.",жалоба,Здравоохранение
"Предлагаю организовать в нашем доме ул. Лесная, д. 31, кв. 54 раздельный сбор отходов — хотя бы стекло/пластик. Во дворе есть место рядом с ТБО. Думаю, жители поддержат. Заранее спасибо.",предложение,Благоустройство
Хочу поблагодарить аварийную службу за быструю ликвидацию протечки в доме ул. Школьная д. 105 кв. 34 — приехали в течение часа всё сделали аккуратно.,благодарность,ЖКХ
"Прошу разобраться с работой регистратуры поликлиники №15: невозможно дозвониться, запись на приём отсутствует, сотрудники отвечают грубо. Прошу провести проверку и сообщить результат.",жалоба,Здравоохранение
"Добрый день. Обращаюсь с жалобой по адресу ул. Школьная, д. 59, кв. 41: нет отопления уже 2 день(дня). Заявки в диспетчерскую подавала — реакции нет. Прошу разобраться и дать ответ в установленные сроки.",жалоба,ЖКХ
Выражаю благодарность врачу поликлиники №12 за внимательное отношение и подробные разъяснения по лечению.,благодарность,Здравоохранение
"Прошу оказать услугу по промывке системы отопления в квартире по адресу пр. Мира, д. 25, кв. 76, радиаторы греют не полностью. Готова быть дома в будни после 18:00.",запрос услуги,ЖКХ
"Прошу оказать услугу по промывке системы отопления в квартире по адресу ул. Лесная, д. 86, кв. 16, радиаторы греют не полностью. Готова быть дома в будни после 18:00.",запрос услуги,ЖКХ
"в подъезде течёт крыша, вода капает на лестницу",сообщение о неисправности,ЖКХ
"Подскажите, пожалуйста, когда в нашем районе планируется ремонт дворовых проездов и можно ли посмотреть график работ?",запрос информации,Благоустройство
"Прошу разобраться с работой регистратуры поликлиники №7: невозможно дозвониться, запись на приём отсутствует, сотрудники отвечают грубо. Прошу провести проверку и сообщить результат.",жалоба,Здравоохранение
"Предлагаю сделать электронную форму обратной связи на сайте поликлиники, чтобы можно было оставить отзыв по работе врача и быстро получить ответ.",предложение,Здравоохранение
"на площадке сломаны качели, дети не могут играть",жалоба,Благоустройство
Предлагаю организовать в нашем доме ул. Карла Маркса д. 87 кв. 57 раздельный сбор отходов — хотя бы стекло/пластик. Во дворе есть место рядом с ТБО. Думаю жители поддержат.,предложение,Благоустройство
"Предлагаю организовать в нашем доме ул. Школьная, д. 77, кв. 40 раздельный сбор отходов — хотя бы стекло/пластик. Во дворе есть место рядом с ТБО. Думаю, жители поддержат.",предложение,Благоустройство
Прошу разобраться с работой регистратуры поликлиники №11: невозможно дозвониться запись на приём отсутствует сотрудники отвечают грубо. Прошу провести проверку и сообщить результат.,жалоба,Здравоохранение
"Прошу записать меня на приём к терапевту в поликлинику №14 и оформить направление к узкому специалисту, так как через портал не получается. Заранее спасибо.",запрос услуги,Здравоохранение
"Предлагаю сделать электронную форму обратной связи на сайте поликлиники, чтобы можно было оставить отзыв по работе врача и быстро получить ответ.",предложение,Здравоохранение
"Прошу сообщить, когда планируется очередная поверка общедомового счётчика по адресу ул. Школьная, д. 99, кв. 14, и кто её оплачивает. Заранее спасибо.",запрос информации,ЖКХ
Сообщаю о неисправности электронной очереди в поликлинике №14 — талон печатается без времени и кабинета. Нужна проверка.,сообщение о неисправности,Здравоохранение
"Добрый день. Обращаюсь с жалобой по адресу ул. Центральная, д. 29, кв. 84: нет отопления уже 2 день(дня). Заявки в диспетчерскую подавала — реакции нет. Прошу разобраться и дать ответ в установленные сроки.",жалоба,ЖКХ
"Прошу рассмотреть возможность предоставления рассрочки по оплате коммунальных услуг по адресу ул. Садовая, д. 29, кв. 18 в связи с временной потерей дохода. Документы могу приложить.",заявление/ходатайство,ЖКХ
"во дворе огромная лужа после дождя, никто не убирает",сообщение о неисправности,Благоустройство
"Прошу оказать услугу по промывке системы отопления в квартире по адресу ул. Победы, д. 109, кв. 56, радиаторы греют не полностью. Готова быть дома в будни после 18:00.",запрос услуги,ЖКХ
Прошу включить мой двор (ул. Школьная д. 102 кв. 51) в список на зимнюю уборку и обработку реагентами так как тротуар сильно обледеневает.,запрос услуги,Благоустройство
"Предлагаю сделать электронную форму обратной связи на сайте поликлиники, чтобы можно было оставить отзыв по работе врача и быстро получить ответ.",предложение,Здравоохранение
"Прошу разобраться с работой регистратуры поликлиники №15: невозможно дозвониться, запись на приём отсутствует, сотрудники отвечают грубо. Прошу провести проверку и сообщить результат.",жалоба,Здравоохранение
"Спасибо сотрудникам района за уборку территории у ул. Садовая, д. 100, кв. 2 и покос травы — стало гораздо чище.",благодарность,Благоустройство
Добрый день. Обращаюсь с жалобой по адресу пр. Мира д. 10 кв. 89: сильный запах из подвала уже 10 день(дня). Заявки в диспетчерскую подавала — реакции нет. Прошу разобраться и дать ответ в установленные сроки.,жалоба,ЖКХ
Сообщаю о неисправности: в подъезде по адресу пр. Мира д. 57 кв. 65 перегорело освещение на 3 этаже ночью там полностью темно. Просьба заменить лампу.,сообщение о неисправности,ЖКХ
"Здравствуйте! Во дворе по адресу ул. Лесная, д. 23, кв. 43 детская площадка в плохом состоянии: сломаны элементы и торчат гвозди. Дети там играют каждый день. Прошу срочно отремонтировать и огородить место до ремонта.",жалоба,Благоустройство
"Предлагаю сделать электронную форму обратной связи на сайте поликлиники, чтобы можно было оставить отзыв по работе врача и быстро получить ответ.",предложение,Здравоохранение
Спасибо сотрудникам района за уборку территории у наб. Реки д. 44 кв. 21 и покос травы — стало гораздо чище.,благодарность,Благоустройство
"Прошу сообщить, когда планируется очередная поверка общедомового счётчика по адресу пр. Мира, д. 11, кв. 86, и кто её оплачивает.",запрос информации,ЖКХ
"Прошу разъяснить порядок получения льготных лекарств для пациента с хроническим заболеванием, какие нужны документы и куда их подавать. Заранее спасибо.",запрос информации,Здравоохранение
"Предлагаю организовать в нашем доме ул. Карла Маркса, д. 59, кв. 89 раздельный сбор отходов — хотя бы стекло/пластик. Во дворе есть место рядом с ТБО. Думаю, жители поддержат.",предложение,Благоустройство
Здравствуйте! Во дворе по адресу ул. Парковая д. 110 кв. 53 детская площадка в плохом состоянии: сломаны элементы и торчат гвозди. Дети там играют каждый день. Прошу срочно отремонтировать и огородить место до ремонта.,жалоба,Благоустройство
"Прошу записать меня на приём к терапевту в поликлинику №9 и оформить направление к узкому специалисту, так как через портал не получается.",запрос услуги,Здравоохранение
"Прошу включить мой двор (ул. Карла Маркса, д. 96, кв. 64) в список на зимнюю уборку и обработку реагентами, так как тротуар сильно обледеневает.",запрос услуги,Благоустройство
"Прошу записать меня на приём к терапевту в поликлинику №14 и оформить направление к узкому специалисту, так как через портал не получается.",запрос услуги,Здравоохранение
"Предлагаю сделать электронную форму обратной связи на сайте поликлиники, чтобы можно было оставить отзыв по работе врача и быстро получить ответ. Заранее спасибо.",предложение,Здравоохранение
"Прошу сообщить, когда планируется очередная поверка общедомового счётчика по адресу ул. Карла Маркса, д. 80, кв. 82, и кто её оплачивает.",запрос информации,ЖКХ
Прошу выдать направление в специализированное медучреждение для получения льготных лекарств. Амбулаторная карта находится в поликлинике №13.,заявление/ходатайство,Здравоохранение
"Хочу предложить высадить кустарники/деревья вдоль пешеходной дорожки у дома ул. Школьная, д. 91, кв. 58, сейчас там пусто и летом пыльно. Можно сделать субботник совместно с жителями.",предложение,ЖКХ
Предлагаю сделать электронную форму обратной связи на сайте поликлиники чтобы можно было оставить отзыв по работе врача и быстро получить ответ.,предложение,Здравоохранение
Спасибо сотрудникам района за уборку территории у ул. Лесная д. 115 кв. 64 и покос травы — стало гораздо чище.,благодарность,Благоустройство
"Подскажите, пожалуйста, когда в нашем районе планируется ремонт дворовых проездов и можно ли посмотреть график работ? Заранее спасибо.",запрос информации,Благоустройство
"Сообщаю: на детской площадке возле ул. Центральная, д. 64, кв. 83 сломаны качели (отошла перекладина), дети могут травмироваться. Просьба отремонтировать/огородить.",сообщение о неисправности,Благоустройство
"нет горячей воды второй день, дом 8 по ул. Победы",сообщение о неисправности,ЖКХ
Прошу выдать направление в специализированное медучреждение для санаторно-курортного лечения. Амбулаторная карта находится в поликлинике №7.,заявление/ходатайство,Здравоохранение
Хочу поблагодарить аварийную службу за быструю ликвидацию протечки в доме ул. Советская д. 5 кв. 25 — приехали в течение часа всё сделали аккуратно.,благодарность,ЖКХ
